"","hlev2g","wksuem","agegp","efmjsi","efmjie"
"757",6,96,2,6,2
"758",6,96,3,6,2
"759",2,40,14,6,1
"760",1,0,8,2,2
"761",6,96,2,2,2
"762",1,0,7,2,1
"763",1,0,8,2,1
"764",2,0,7,2,2
"765",1,96,16,4,1
"766",3,0,13,2,2
"767",4,0,13,2,1
"768",1,0,4,2,2
"769",2,0,6,2,2
"770",2,0,11,5,1
"771",2,0,11,5,2
"772",1,0,4,5,2
"773",2,0,5,5,2
"774",4,0,7,2,2
"775",4,0,7,2,1
"776",6,96,1,2,2
"777",6,96,1,2,2
"778",4,0,15,6,1
"779",2,0,14,6,2
"780",2,0,6,7,1
"781",1,0,14,2,2
"782",2,0,14,2,1
"783",3,0,13,2,1
"784",4,0,9,2,1
"785",3,16,12,2,2
"786",3,19,13,2,1
"787",1,96,16,4,1
"788",1,96,16,4,2
"789",2,12,13,2,2
"790",3,0,14,2,1
"791",2,0,6,2,2
"792",6,96,2,2,2
"793",6,96,1,2,2
"794",4,0,12,2,2
"795",3,0,4,2,2
"796",2,4,6,2,1
"797",3,0,15,4,1
"798",1,0,15,2,2
"799",2,0,15,2,1
"800",3,96,16,4,2
"801",3,96,16,4,1
"802",2,0,11,2,1
"803",2,0,11,2,2
"804",2,0,6,2,2
"805",1,0,4,2,2
"806",1,0,5,2,2
"807",2,0,15,6,1
"808",3,0,12,2,2
"809",4,0,12,2,1
"810",4,0,6,2,2
"811",1,5,5,4,1
"812",6,96,3,2,2
"813",6,96,2,2,2
"814",2,0,10,2,1
"815",1,0,15,2,2
"816",1,0,4,2,2
"817",1,96,16,4,2
"818",2,96,16,4,2
"819",3,32,13,4,1
"820",1,96,16,4,2
"821",1,96,16,4,2
"822",3,0,13,4,1
"823",3,0,14,6,1
"824",3,10,14,6,2
"825",3,0,13,2,1
"826",1,0,13,2,2
"827",3,10,7,2,1
"828",2,0,9,2,1
"829",4,0,14,6,1
"830",4,0,13,2,1
"831",3,12,6,2,1
"832",3,0,6,2,1
"833",2,0,14,2,1
